,afd,cdu,fdp,gruene,linke,spd
afd,1.0,0.455105,0.6791669,0.18187281,0.4142988,0.26074848
cdu,0.455105,1.0,0.6080552,0.6250116,0.5583368,0.6080096
fdp,0.6791669,0.6080552,1.0,0.5741356,0.4971514,0.5141802
gruene,0.18187281,0.6250116,0.5741356,1.0,0.51005644,0.559877
linke,0.4142988,0.5583368,0.4971514,0.51005644,1.0,0.54092896
spd,0.26074848,0.6080096,0.5141802,0.559877,0.54092896,1.0
