,afd,cdu,fdp,gruene,linke,spd
afd,1.0,0.62108535,0.6325242,0.5000289,0.5242107,0.5079769
cdu,0.62108535,1.0,0.5777747,0.67163014,0.5004267,0.56292236
fdp,0.6325242,0.5777747,1.0,0.5071587,0.38023168,0.57392293
gruene,0.5000289,0.67163014,0.5071587,1.0,0.42755818,0.6174083
linke,0.5242107,0.5004267,0.38023168,0.42755818,1.0,0.618626
spd,0.5079769,0.56292236,0.57392293,0.6174083,0.618626,1.0
